Sample;Year;Year_Season;Copepod;Amphipod;Ostracod;Pteropod;Cheatognath;Time_sp;ice_concentration;temp_air;v_winds;u_winds;v_ice;u_ice;pressure_atm;SST;SSS;u_currents;v_currents;ice_distance;chla_sat;AMO;A0;NAO;Seasonal_var;Tot_flux;CaCO3;Psi;POC;PON;15N;13C;Season
2001-03-14;2001;2001;22,53333333;0;22,4;0;28,13333333;195;0,35;-12,815625;-3,56125;-3,633125;0;0;1008,65625;2,175064236;34,9203776;-1,390677083;-4,2115625;40,12625793;NaN;0,0005;-0,3905;0,28;9,244685096;46,636;2,763;0,3234;9,13;1,11;8,316;-25,24;Spring
2001-03-29;2001;2001;13,73333333;0,266666667;13,73333333;0;53,06666667;210;4,425;-14,06882353;0,533529412;-4,439411765;-3434,970588;-1585,147059;998,9529412;2,687794771;34,99276961;-7,965490196;-3,75995098;25,36990693;0,186530903;-0,013;0,906;1,24;11,81676395;30,551;2,598;0,095666667;8,89;0,87;7,67;NaN;Spring
2001-04-14;2001;2001;27,86666667;0,933333333;22;0,533333333;0,666666667;226;0,4;-7,655625;-1,430625;-1,93375;0;0;998,3875;1,979863542;34,99948698;-4,79375;1,292514881;42,14446277;0,816056952;-0,0115;0,679;0,575;14,49647455;32,46829863;2,860793901;3,952666667;4,82;0,63;5,676;-22,512;Spring
2001-04-29;2001;2001;19,2;2,4;28;0;0,4;241;0;-5,55;-1,26;-4,0675;-1085,5875;-1079,51875;994,73125;2,635572917;34,98457031;-2,498802083;-0,6215625;48,97451382;1,389841318;-0,01;0,452;-0,09;16,77291617;51,32533;2,446;10,11733333;5,49;0,74;2,69;-25,217;Spring
2001-05-14;2001;2001;14,53333333;4,533333333;18,8;0;0;256;0;-2,566875;-1,6375;0,383125;0;0;1005,99375;2,040529514;34,96064844;-1,34875;-9,76765625;86,3377136;2,122362733;0,094;0,2185;-0,71;18,66658819;18,18;1,161;2,057533333;3,42;0,61;5,269;-23,365;Spring
2001-05-29;2001;2001;34,625;2,5;18;0;0;271;0;-1,858823529;1,524705882;-2,794117647;0;0;995,5823529;2,483449346;34,92629902;-4,343921569;-4,093186275;50,69039105;2,698914289;0,198;-0,015;-1,33;20,0519319;16,5;0,848;0,929133333;3,69975;0,4375;5,014;-24,746;Spring
2001-06-14;2001;2001;57,2;0,933333333;7,6;0;0,266666667;287;1,0625;-0,154375;-0,410625;1,96125;-301,1375;56,925;1003,41875;2,383260417;34,89170833;1,835572917;-0,307083333;54,49379651;2,32544601;0,1665;-0,023;-1,225;20,86657933;9,474;1,062;0,2058;2,1;0,32;6,114;-24,693;Summer
2001-06-29;2001;2001;15,73333333;0,533333333;1,066666667;0;0;302;9,7125;-0,880625;0,89625;0,511875;1017,7375;1119,21875;993,89375;3,033668403;34,98264583;2,411041667;-4,141458333;13,64623453;1,043078214;0,135;-0,031;-1,12;20,95521372;37,696;1,907;2,971266667;3,34;0,5;2,483;NaN;Summer
2001-08-14;2001;2001;36,11764706;41,29411765;17,29411765;4,117647059;0;348;0,433333333;0,842222222;-0,781111111;2,905555556;0;0;998,9777778;3,964871914;35,0463125;1,220277778;-1,04125;37,91194823;0,319251724;0,2315;-0,093;-1,095;17,32103411;74,5028959;16,8103817;0,635715971;17,73;1,15;6,088;-24,983;Summer
2001-08-31;2001;2001;33,6;18,8;31,33333333;8,533333333;0;365;0;0,83;-2,084375;2,54;0;0;993,9875;2,881380208;34,96123958;-2,993854167;-2,102708333;81,53669027;0,226398438;0,286;-0,707;-3,83;14,8168922;24,03728496;3,854732913;0,839395945;6,13;0,85;5,987;-24,43;Summer
2001-09-15;2001;2001;94,26666667;11,46666667;37,46666667;11,46666667;0;380;0;-1,538125;2,12375;-2,2275;0;0;996,23125;3,827416667;35,00179167;-3,85578125;-6,335416667;99,16094678;NaN;0,2685;0;-1,475;12,33014707;44,05753207;6,031404627;3,036816115;7,83;1,38;6,145;-23,854;Summer
2001-09-30;2001;2001;140,9333333;11,6;46,13333333;65,86666667;0,133333333;395;0;-1,855625;-1,4825;1,443125;0;0;988,80625;2,898251736;34,96098698;-2,4290625;-5,6834375;109,7971251;NaN;0,251;0,707;0,88;9,755207361;16,79284227;4,571511672;0,335728414;4,23;0,36;6,053;-24,822;Faller
2001-10-15;2001;2001;110,9333333;7,866666667;21,73333333;38;0,4;410;0;-9,263125;2,208125;-5,199375;0;0;995,88125;3,856163194;35,00573958;-4,676145833;-0,442864583;100,8966639;NaN;0,2035;0,763;0,445;7,262802852;9,622115668;3,427931441;0,03801337;1,58;0,25;7,048;-24,387;Faller
2001-10-30;2001;2001;53,2;3,2;14,53333333;34;0,266666667;425;1,9875;-15,35266667;2,018666667;-7,023333333;-273,3533333;-57,84666667;989,4866667;2,922093444;34,96276563;-4,307458333;-7,13353125;36,56891462;NaN;0,156;0,819;0,01;5,018190856;12,20953102;4,414630705;0,145848986;1,27;0,24;7,366;-23,468;Faller
2001-11-14;2001;2001;21,33333333;3,066666667;9,2;19,46666667;0;440;5,35;-11,642;-1,043333333;-4,06;-2561,686667;-1268,893333;979,5333333;3,189697917;34,95346354;-7,954947917;-4,740989583;25,33127651;NaN;0,1845;-0,2515;-1,12;3,170198963;6,342661409;3,666397056;0,096303489;0,53;0,08;6,987;-24,171;Faller
2001-11-29;2001;2001;59,46666667;0,8;16,66666667;75,46666667;0;455;0;-2,715;-1,5625;4,134375;0;0;988,45625;2,950501736;34,9770625;-3,735104167;-8,05171875;55,59448638;NaN;0,213;-1,322;-2,25;1,841357117;4,969350158;1,696916088;0,098349151;0,52;0,09;7,724;-23,98;Faller
2001-12-14;2001;2002;19,93548387;0,967741935;9,612903226;73,03225806;0;470;0,4375;-11,2346875;0,59375;-2,470625;-784,79375;-102,9625;986,375;2,798104167;34,98841016;NaN;NaN;44,28626231;NaN;0,197;0,0295;0,03;1,001481608;9,239687595;1,991521828;0,246915281;0,6;0,1;6,993;-23,767;Winter
2002-01-14;2002;2002;14,83870968;1,741935484;7,419354839;29,09677419;0;501;0,51875;-11,3609375;-4,819375;-3,67625;0;0;990,40625;2,314301215;34,99746484;NaN;NaN;61,42615607;NaN;0,173;1,3425;2,66;2,304106107;12,30441671;1,997343034;0,26751259;1,76;0,28;8,955;NaN;Winter
2002-02-14;2002;2002;18,57142857;2,928571429;9,428571429;8;1,357142857;532;0,475862069;-12,30344828;-3,296896552;-7,462068966;-342,6206897;-443,9172414;982,4172414;2,131872783;34,98230172;NaN;NaN;76,15321745;NaN;0,1545;1,103;1,55;5,729222914;16,63524854;1,853707751;0,453740822;1,24;0,2;7,648;-24,567;Winter
2004-07-15;2004;2004;16,57142857;18,57142857;2,571428571;5,142857143;0;1414;0;0,78625;-1,89;3,73;0;0;995,5625;NaN;NaN;NaN;NaN;52,06863933;0,923850983;0,2715;-0,4605;-0,53;20,49717843;12,5238959;3,450381703;0,702014718;1,897;0,233;6,82;-24,724;Summer
2004-07-22;2004;2004;78;30,85714286;7,714285714;9,428571429;0;1421;0;0,7425;-0,43375;6,59;0;0;995,55;4,347352431;34,98621875;-18,911875;1,436979167;51,7966848;0,535181463;0,316;-0,72;-0,76;20,0519319;17,86929473;3,233347904;0,672147549;7,179394286;0,398;7,233;-25,458;Summer
2004-07-29;2004;2004;113,1428571;40;58,28571429;3,428571429;0;1428;0;0,79375;3,185;6,05;0;0;998,3125;3,315680556;34,99846875;-15,75916667;1,054479167;98,9493603;0,600301638;0,316;-0,72;-0,76;19,47540923;292,8730982;44,8844493;35,13245647;49,371;7,095;5,955;-24,884;Summer
2004-08-15;2004;2004;38,625;19,625;28,75;115,5;0;1445;0;1,434705882;-0,542352941;1,117058824;0;0;995,9529412;5,287358325;35,10463405;8,593921569;19,17529412;268,6108823;0,630060926;0,278;0,0675;0,875;17,0505607;45,26618099;12,55133636;0,761660835;13,867;1,493;7,967;-24,947;Summer
2004-08-31;2004;2004;154,6666667;10,93333333;14,53333333;129,8666667;0;1461;0;0,46625;-0,0675;-2,583125;0;0;992,10625;4,027503472;35,0241224;0,826666667;-3,37953125;247,8720108;1,066565931;0,24;0,855;2,51;14,65722523;68,90687697;23,0714511;5,243691993;12,254;1,661;6,885;-24,948;Summer
2004-09-15;2004;2004;68,4;12,8;9,733333333;100,1333333;0;1476;0;0,28125;-1,6025;0,675;0;0;995,4125;5,061909722;35,019125;-1,321302083;7,661197917;176,6782447;NaN;0,241;0,17;0,165;12,159346;22,96636172;6,500229232;0,940662675;6,461;0,678;7,43;-25,334;Summer
2004-09-30;2004;2004;122,8;7,2;13,73333333;58,26666667;0;1491;0;-2,840625;-1,065625;-0,758125;0;0;997,59375;3,722829861;34,98629427;-3,954635417;-5,792135417;100,6217646;NaN;0,242;-0,515;-2,18;9,584597048;11,16088118;4,788946793;0,299543923;2,287;0,373;8,039;-23,995;Faller
2004-10-15;2004;2004;380,375;8,25;35,5;93,875;0,125;1506;0;-4,689411765;-1,657058824;-2,692941176;0;0;993,7352941;4,309825163;34,93438235;-10,30073529;-6,362745098;104,4091102;NaN;0,2315;0,0815;-1,365;7,103695505;7,872035686;4,001202484;0,251026898;1,141;0,174;7,811;-25,182;Faller
2004-10-31;2004;2004;84,6;2,866666667;11,93333333;181,7333333;0;1522;0;-11,47290323;-1,59483871;-6,41;0;0;991,0032258;3,577085502;35,02135223;7,531334311;-12,58331134;70,23213461;NaN;0,204;0,954;0,36;3,85326614;20,35623291;2,849923764;1,388562751;1,14;0,181;7,641;-23,128;Faller
2004-11-30;2004;2005;49,08695652;2,260869565;8,869565217;29,52173913;0,173913043;1552;0,795744681;-8,644680851;-3,134893617;-4,788723404;-410,4744681;-413,1319149;977,4191489;3,131569047;35,01423156;-4,760797872;-14,66998227;49,37824729;NaN;0,1485;0,793;1,545;1,072512775;40,13975415;4,208901454;2,414588264;4,027173913;0,597391304;8,761;-22,193;Winter
2005-01-15;2005;2005;18,59090909;3,045454545;2,818181818;7,181818182;1,227272727;1598;0,444444444;-7,860666667;-1,174888889;-1,499111111;-569,4577778;-333,2577778;986,9533333;2,671548148;34,95559444;-3,703111111;-9,143;47,19436923;NaN;0,197;-0,496;0,265;2,960720382;17,26679452;1,982359478;0,400714182;6,545227273;0,665090909;8,575;-24,28;Winter
2005-02-28;2005;2005;15,5483871;3,806451613;2,322580645;0,193548387;2,387096774;1642;0,09375;-12,6503125;-1,5296875;-3,005;-243,575;-56,090625;1000,7625;2,966152009;35,04065914;-2,809010417;12,25432292;53,82033229;NaN;0,288;-0,697;-0,29;8,239030269;32,14231251;15,30810146;0,290780519;7,61251;0,70154;8,63;-24,766;Winter
2005-03-31;2005;2005;68;6,8;19,46666667;0,266666667;14;1673;0;-9,0025;-4,358125;-1,926875;-487,15;-112,18125;996,45625;3,165760417;34,98176823;-0,149739583;1,302083333;67,29295674;0,205565199;0,292;-0,046;0,71;12,159346;30,52718612;14,61738423;1,01478445;4,816;0,597333333;6,894;NaN;Spring
2005-04-15;2005;2005;30,66666667;9,733333333;6,933333333;0,266666667;2;1688;0;-5,808125;0,623125;0,3725;0;0;1004,66875;2,750342014;34,98109896;-6,590625;4,514583333;37,34866465;0,85987106;0,2925;-0,4045;0,29;14,65722523;29,88718612;14,42271756;2,64667602;3,616666667;0,425733333;7,362;-24,618;Spring
2005-04-30;2005;2005;24,53333333;14,26666667;4,666666667;0,533333333;0,666666667;1703;0;-1,873125;-3,01125;0,595;0;0;1001,6;3,614583333;35,02466927;-8,593333333;0,6996875;66,83958016;0,497346252;0,293;-0,763;-0,13;16,91261445;15,52903891;2,837435121;1,241172519;3,051;0,36;6,281;-24,321;Spring
2005-05-15;2005;2005;19,375;10,125;5;0;0;1718;0;-1,83;-0,837058824;-7,247058824;0;0;999,9823529;3,402785948;35,0544902;-3,820294118;-12,46828431;70,53718944;0,603570789;0,31;-0,573;-0,565;18,77597147;9,84;1,41;1,583882377;2,193;0,357;7,831;-24,575;Spring
2005-05-31;2005;2005;16,4;12;2,266666667;0,4;0,266666667;1734;0,425;-0,24125;-1,37375;-0,86875;0;0;1001,8375;3,558293403;34,99451042;-6,2325;-7,3015625;49,60994957;1,580178574;0,327;-0,383;-1;20,1928597;12,73;1,55;1,182870622;3,749;0,353;6,25;-24,346;Spring
2005-08-25;2005;2005;153,2;0,933333333;56,26666667;3,066666667;10,4;1820;0;-0,376666667;-4,235;-4,039166667;0;0;988,2333333;3,551790404;35,00998106;-3,11969697;-11,43143939;83,9306838;0,530341059;0,418;0,802;0,5;16,04961055;32,19706648;9,208687697;0,951513897;9,571802899;1,069590261;6,451;-25,283;Summer
2005-09-05;2005;2005;167,3333333;0;38,93333333;2,666666667;18;1831;0;-2,703809524;-0,114761905;-7,472857143;0;0;986,247619;4,803757937;35,07253968;-11,11904762;-1,506150794;62,04828138;NaN;0,3275;0,416;0,025;13,67814305;45,5225871;7,471119611;1,967553571;15,896704;1,9619072;6,906;-24,643;Summer
2005-09-25;2005;2005;729,7333333;3,066666667;107,3333333;2,266666667;2,4;1851;4,27;-7,152857143;-0,158095238;-3,93;-4772,266667;-2335,538095;991,2095238;4,037260582;35,01247421;-3,454126984;-7,196984127;26,00659872;NaN;0,237;0,03;-0,45;10,2690487;70,78097176;8,823466667;5,022675464;8,140202667;1,150336;4,535;-24,921;Faller
2005-10-15;2005;2005;217,0666667;0,8;54,26666667;29,73333333;0,4;1871;6,235294118;-10,18117647;-1,568823529;-3,290588235;-5712,829412;-2313,811765;999,8;3,623779412;34,9377402;-5,076421569;-11,0404902;18,46107879;NaN;0,1885;0,129;-0,73;7,262802852;11,44318479;3,130167981;0,489957877;1,58546;0,202982;5,085;-25,075;Faller
2005-10-31;2005;2005;42,86666667;1,066666667;21,33333333;45,46666667;0;1887;0,051612903;-7,553548387;-1,807096774;-3,931290323;0;0;988,1612903;3,758932796;35,05233065;-1,571424731;1,423951613;53,59897976;NaN;0,178;-0,938;-0,91;3,974725258;10,29049794;6,720132808;0,121245707;0,889329778;0,148713956;6,445;-24,09;Faller
2005-11-30;2005;2005;28,73333333;1;13,93333333;26,93333333;0;1917;0,20625;-4,005625;-1,0146875;1,9025;-548,09375;-222,409375;993,29375;3,511173611;35,04039974;-1,148958333;2,407421875;83,45179212;NaN;0,1695;-1,137;-0,455;1,331521864;6,736794415;3,207919406;0,139891607;0,952144516;0,140978581;7,379;-24,215;Faller
2005-12-31;2005;2006;34,8;2,533333333;21,23333333;16,3;0,033333333;1948;0,046666667;-7,387288136;-0,616271186;-1,155932203;-500,759322;-113,8898305;988,4271186;3,444777778;35,04447222;-7,924513889;-3,006722222;79,87766183;NaN;0,0915;-0,887;-0,61;2,304106107;10,82510983;3,023371206;0,229555183;1,163013785;0,167604791;6,855;-24,59;Winter
2006-02-28;2006;2006;58,66666667;0;4,6;1,4;6,133333333;2007;0;-11,94387097;-3,330322581;-4,977741935;0;0;1004,480645;3,000253584;35,00440054;-0,395483871;-8,959086022;72,16734077;NaN;0,1285;-0,733;-0,275;8,073996644;26,63352795;2,9696;0,190677992;4,714695111;0,624395378;5,788;-25,144;Winter
2006-03-30;2006;2006;260,8;0;20;1,066666667;13,6;2037;0;-3,70875;-5,00625;0,52375;0;0;995,31875;3,438673611;35,0096224;-0,474427083;-0,997135417;65,53223181;0,172788054;0,197;0,138;0,57;11,98820139;27,9548035;2,568533333;1,243742508;2,761856;0,391300267;6,253;-24,794;Spring
2006-04-14;2006;2006;113,4666667;0;4,8;0,533333333;0;2052;0;-0,678;-6,938;3,575333333;-223,16;-903,4;990,86;2,930244792;35,00265104;-15,02796875;7,484322917;65,61229346;0,612457968;0,2525;0,147;0,175;14,49647455;21,13166271;2,271054118;0,65345698;6,518528;0,985856;6,205;-24,485;Spring
2006-04-29;2006;2006;17,33333333;0,266666667;1,333333333;0,4;18,8;2067;1,8;-1,693125;1,31125;-0,06625;-299,6875;-149,4875;1003,45625;3,138986111;34,94178646;-1,565104167;-0,12109375;42,45090639;0,431427829;0,308;0,156;-0,22;16,77291617;46,72361082;4,854914336;1,378749709;13,48408889;1,772020622;5,264;-24,938;Spring
2006-05-14;2006;2006;193,6;0;4,666666667;0,133333333;6,666666667;2082;0;-1,416875;-0,374375;-3,05125;0;0;998,81875;1,501411458;34,67123438;-2,239739583;-11,69880208;77,00129088;1,216161899;0,3205;0,6135;-0,315;18,66658819;22,00454072;2,949688889;0,700859549;5,586773333;0,870081422;5,253;-24,965;Spring
2006-05-29;2006;2006;51,86666667;0;3,866666667;0;10,26666667;2097;0;-0,498125;0,254375;-0,740625;0;0;995,30625;3,151803147;34,95656994;1,030145833;0,023208333;57,27004738;1,484003782;0,333;1,071;-0,41;20,0519319;27,74439242;3,712;0,539142089;11,36725333;1,378645333;5,312;-25,913;Spring
2006-06-13;2006;2006;1,333333333;0;0,266666667;0;2,133333333;2112;0;-0,611875;-0,4125;-1,44625;0;0;990,8625;3,259848958;34,90972396;-3,486927083;-1,513229167;93,37640795;1,076670766;0,3535;0,587;0,21;20,83709294;65,92894735;7,253333333;1,266901407;23,945728;3,000849067;5,151;-25,476;Spring
2006-06-28;2006;2006;0;0;0;1,428571429;4;2127;0;-0,110666667;-0,966;1,308666667;-211,9466667;-32,08;993,1666667;3,726760417;34,99499479;-1,148854167;3,0071875;62,13778013;0,857147411;0,374;0,103;0,83;20,9700117;1,980648278;0,328692114;0,077618509;0,805226667;0,1157376;6,619;-24,642;Summer
2006-07-13;2006;2006;0,857142857;0;0;1,714285714;4,857142857;2142;0;-0,41625;0,5425;-1,0325;0;0;993,125;3,655375;34,94530729;-8,195;-16,40364583;62,56841816;1,45009172;0,3875;-0,081;-0,82;20,64614176;9,798783234;0,503877873;0,295060946;1,906331429;0,376100571;5,609;-23,435;Summer
2006-09-01;2006;2006;38;10,33333333;6;7;0;2192;0;0,374285714;1,31;1,538571429;0;0;999,7857143;3,062654762;34,99026786;-0,697857143;-5,088809524;74,23771818;0,861354083;0,364;0,606;-1,02;15,44378178;9,205406414;3,264620925;0,238458717;1,227093333;0,141930667;9,599;-27,472;Summer
2006-09-07;2006;2006;165,5;6,5;35,25;11,25;0;2198;0;-0,242222222;-0,812222222;0,95;0;0;992,1888889;4,228632716;34,97579167;-10,08805556;1,675555556;77,15920959;NaN;0,364;0,606;-1,02;14,33468779;13,65725854;6,128496451;0,31091002;3,01344;0,207636;7,188;-21,968;Summer
2006-09-15;2006;2006;136,2857143;6,857142857;30;14,85714286;0;2206;0;-3,9725;3,495;-5,56;0;0;988,2625;5,942076389;35,12494792;-17,8190625;-5,26625;76,50051321;NaN;0,349;-0,2115;-1,495;13,00890555;18,08874836;4,960532222;0,572603877;4,74624;0,536754286;6,649;-25,921;Summer
2006-09-22;2006;2006;106;9,5;42,25;9,25;0,5;2213;0;-4,526666667;3,134444444;-2,988888889;0;0;997,8222222;5,488314815;35,06882407;-2,865555556;3,819907407;52,01868582;NaN;0,334;-1,029;-1,97;11,81676395;14,37291693;4,505526814;0,657229329;3,256;0,423813333;6,295;-25,722;Faller
2006-09-30;2006;2006;106,5333333;7,466666667;47,06666667;18;0;2221;0,36;-6,520625;-0,89;-2,885;0;0;1000,925;3,701078125;34,92467708;-1,691302083;-5,624791667;43,13893243;NaN;0,334;-1,029;-1,97;9,755207361;35,79891146;7,539102419;2,914014621;4,298368;0,621794133;6,511;-25,425;Faller
2006-10-15;2006;2006;25,125;5,75;8,125;72,125;0;2236;0;-8,897647059;-1,302941176;-5,024705882;0;0;1003,664706;4,803890523;35,00688971;-6,341666667;-1,055784314;42,75225003;NaN;0,3115;-0,254;0,015;7,262802852;22,48624125;8,953382098;1,271568797;2,033426667;0,338670667;6,639;-25,053;Faller
2006-10-31;2006;2006;21,33333333;1,6;15,73333333;58;0;2252;0;-11,76625;-0,1125;-4,52125;0;0;985,30625;3,252536458;34,91815104;-0,679895833;-3,792864583;49,53927503;NaN;0,289;0,521;2;4,881135987;10,2995319;4,782249683;0,21149602;1,091148506;0,191885241;7,945;-26,994;Faller
2006-11-15;2006;2006;23,2;1,466666667;12,26666667;117,0666667;0;2267;0;-5,4125;-3,04625;-2,64875;0;0;985,24375;3,726482639;35,06353385;4,810625;-10,34359375;54,33942597;NaN;0,23;1,4015;2,515;3,06428391;23,52824027;15,34259333;0,167560292;2,671525161;0,371171923;8,089;-25,118;Faller
2006-11-30;2006;2006;26,58064516;0,516129032;10,64516129;101,6129032;0;2282;0;-8,7871875;-0,541875;-2,765625;0;0;981,290625;3,367815104;35,00107552;-5,9978125;-8,189791667;66,96826215;NaN;0,171;2,158;2,395;1,331521864;22,51876866;15,67900379;0,096689484;1,926709333;0,359893333;8,207;-24,53;Faller
2006-12-31;2006;2007;8,64516129;2,838709677;7,548387097;169,8064516;0;2313;0;-10,6325;-2,37875;-5,1203125;0;0;979,378125;3,336664063;35,03146094;-3,055703125;-2,007135417;73,57618246;NaN;0,194;0,3635;1,09;1,376909225;33,05993603;25,02009691;0,186377998;0,838967742;0,137596903;8,207;-24,73;Winter
2007-01-31;2007;2007;2,857142857;1,714285714;0,714285714;204,2857143;0;2344;0;-7,422068966;-1,269310345;-0,403448276;0;0;1000,068966;3,054736202;34,96090688;-3,93566092;-10,34433908;54,36544447;NaN;0,172;-0,0625;1,225;3,85326614;39,59965018;29,96375886;0,19571014;1,366457143;0,206717714;6,643;-24,363;Winter
2007-02-28;2007;2007;14,8;4,133333333;2;0;0,8;2372;0,3375;-11,39666667;-1,564666667;-4,126;0;0;987,5066667;3,661915326;35,05239078;-3,867447917;-12,65010417;43,06674254;NaN;0,127;1,182;2,03;6,945742716;45,35481619;23,58985174;1,288153138;2,489258667;0,385646933;7,095;-23,689375;Winter
2007-03-15;2007;2007;6,25;1,75;0,375;19,125;83,875;2387;0;-12,38533333;-0,092666667;-2,936;-925,48;-872,88;987,3333333;2,932995271;35,04804768;-3,913431373;-23,79862745;48,86687141;NaN;0,143;0,863;0,965;9,414406149;40,05322783;2,706355087;0,343630306;16,62336;1,187664;5,922;-25,401;Spring
2007-03-31;2007;2007;14,66666667;5,733333333;0,533333333;7,066666667;68,8;2403;0,813333333;-11,090625;-1,236875;-3,306875;0;0;987,53125;3,542255425;35,04835573;-1,240364583;-12,73046875;36,31701575;0,162035793;0,159;0,544;-0,1;12,159346;97,72973495;6,920808903;3,990610443;17,76238933;1,872298667;6,786;-23,963;Spring
2007-04-15;2007;2007;2,266666667;0;0;0,933333333;84,26666667;2418;7,5125;-9,04625;1,8375;-2,801875;-4786,15;-1569,45625;992,5625;2,649564236;35,03361719;-5,607135417;-10,83609375;15,64488937;0,218134958;0,135;0,719;0,26;14,65722523;100,4628028;5,765219348;1,475257917;33,3389824;2,88387072;5,192;-23,669;Spring
2007-05-10;2007;2007;34;10,4;10;0,4;2;2443;0;-1,750909091;-0,694545455;0,944545455;0;0;997,7636364;3,268517677;35,00597727;-9,278106061;-2,068560606;42,3844301;0,346312955;0,0995;0,1695;-1,36;17,83919422;42,82304585;2,682076341;13,63229271;7,06272;1,2356352;5,024;-23,751;Spring
2007-05-20;2007;2007;9,882352941;9,882352941;2,705882353;0,470588235;1,058823529;2453;7,211111111;-1,761111111;-0,031666667;-1,574444444;-136,3166667;1085,283333;1001,122222;3,731990832;35,07429882;-5,45375;4,795324074;16,91171384;0,755210388;0,088;-0,555;-3,34;19,28770087;10,99695077;0,504675461;1,299962291;2,360707879;0,362573576;7,429;-23,999;Spring
2007-06-06;2007;2007;42,28571429;28,71428571;2,571428571;0;0,142857143;2470;5,053333333;-0,543333333;-0,532666667;-2,632;-1365,9;-951,1666667;999,7066667;4,189553704;35,045025;2,105333333;9,323888889;25,21168562;0,746899645;0,1085;-0,476;-2,195;20,49717843;12,29356399;1,335027265;0,633685595;4,378571429;0,261071429;6,748;-26,099;Spring
2007-07-23;2007;2007;50,43478261;18,08695652;11,56521739;0,782608696;0,173913043;2517;0;0,545833333;-1,940416667;-0,45375;0;0;998,0583333;3,831832837;34,99294705;-6,7378125;-14,30479167;54,94982832;0,591333513;0,054;-0,034;-3,41;19,38279705;22,97103895;5,908973118;0,806774552;6,30272;0,549357449;5,366;-26,028;Summer
